latitude,longitude,depth,taxonkey,scientificname,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,basisofrecord
-78.06324,-169.99115,549.0,7084,Sabellidae,1,42,256.0,1080.0,7084.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,7078,Polynoidae,1,42,256.0,1079.0,7078.0,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,44,Chordata,1,44,,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,350,Ophiuroidea,1,50,350.0,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2277059,"Ophionotus victoriae Bell, 1902",1,50,350.0,,3218.0,2277058.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2303918,"Marginella Lamarck, 1799",1,52,225.0,982.0,2689.0,2303918.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,350,Ophiuroidea,1,50,350.0,,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,4340424,"Glabraster antarctica (E.A.Smith, 1876)",1,50,214.0,810.0,2068.0,2273089.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2276854,"Ophioplinthus gelida (Koehler, 1901)",1,50,350.0,,9774488.0,2276771.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2288508,"Cardiomya A.Adams, 1864",1,52,137.0,,3470.0,2288508.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,705,Actiniaria,1,43,206.0,705.0,,,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,4340424,"Glabraster antarctica (E.A.Smith, 1876)",1,50,214.0,810.0,2068.0,2273089.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2274814,"Ophiolimna antarctica (Lyman, 1879)",1,50,350.0,9659424.0,3222.0,2274803.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,2276687,"Ophiocten Lütken, 1855",1,50,350.0,,3218.0,2276687.0,PRESERVED_SPECIMEN
-78.06324,-169.99115,549.0,7601723,Lepidopleurida,1,52,346.0,7601723.0,,,PRESERVED_SPECIMEN
